"location","age_group","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w","value_5w","value_6w","value_7w","value_8w","value_9w","value_10w","value_.10w"
"DE","00+",2022,52,"2023-01-01",21296,3148,800,252,248,114,-111,55,114,0,0,937
"DE","00+",2023,1,"2023-01-08",17263,3309,1044,310,45,111,56,-121,287,-101,0,327
"DE","00+",2023,2,"2023-01-15",11007,2184,214,239,0,277,-37,37,92,2,0,201
"DE","00+",2023,3,"2023-01-22",8480,2103,174,166,222,65,46,-9,-30,30,0,142
"DE","00+",2023,4,"2023-01-29",8923,1167,778,444,10,156,45,11,-66,-378,0,466
"DE","00+",2023,5,"2023-02-05",8647,1665,667,120,268,-10,18,-18,-156,312,0,-40
"DE","00+",2023,6,"2023-02-12",9868,1777,568,98,-13,133,33,-264,415,-110,0,298
"DE","00+",2023,7,"2023-02-19",9757,1565,767,-68,-12,123,-209,482,-10,63,20,-8
"DE","00+",2023,8,"2023-02-26",9762,2272,817,319,69,-206,211,199,64,26,0,184
"DE","00+",2023,9,"2023-03-05",10090,2540,487,343,-150,354,-1,106,97,-19,46,-9
"DE","00+",2023,10,"2023-03-12",11191,2085,405,129,484,-24,233,-82,90,-10,0,48
"DE","00+",2023,11,"2023-03-19",10848,2501,683,681,53,52,47,89,-11,1,0,270
"DE","00+",2023,12,"2023-03-26",10859,2229,891,181,186,75,-20,-11,-78,-12,0,166
"DE","00+",2023,13,"2023-04-02",10090,1371,217,360,273,-68,48,-83,96,0,0,83
"DE","00+",2023,14,"2023-04-09",6635,4050,828,243,210,104,32,202,111,35,0,187
"DE","00+",2023,15,"2023-04-16",8369,1361,694,-7,-4,-100,107,111,-66,-162,0,89
"DE","00+",2023,16,"2023-04-23",8156,1379,218,218,27,89,222,-65,59,-7,0,-70
"DE","00+",2023,17,"2023-04-30",5760,2775,552,69,155,111,-171,-53,107,114,0,-25
"DE","00+",2023,18,"2023-05-07",7650,1437,384,173,222,47,169,104,6,6,0,194
"DE","00+",2023,19,"2023-05-14",7099,1425,566,221,51,57,106,4,4,-8,0,-214
"DE","00+",2023,20,"2023-05-21",6420,1229,665,276,55,109,2,1,-3,3,0,55
"DE","00+",2023,21,"2023-05-28",5099,1885,723,165,111,220,-111,2,-2,0,0,55
"DE","00+",2023,22,"2023-06-04",6540,1277,386,111,0,0,0,-111,0,0,0,193
"DE","00+",2023,23,"2023-06-11",5832,825,556,327,-2,5,106,-109,111,137,0,27
"DE","00+",2023,24,"2023-06-18",5552,1220,437,-115,9,102,4,0,158,-162,0,28
"DE","00+",2023,25,"2023-06-25",5231,1426,105,120,-120,-105,110,179,-184,106,28,-245
"DE","00+",2023,26,"2023-07-02",4557,875,349,205,-103,0,116,-13,-119,154,-30,-89
"DE","00+",2023,27,"2023-07-09",5099,792,428,6,111,89,15,-117,41,-25,0,45
"DE","00+",2023,28,"2023-07-16",5120,755,8,221,105,-1,-7,156,85,-169,0,128
"DE","00+",2023,29,"2023-07-23",4877,785,111,226,-124,-119,165,79,-278,34,0,63
"DE","00+",2023,30,"2023-07-30",3342,1547,268,-58,101,175,72,-166,30,0,0,176
"DE","00+",2023,31,"2023-08-06",4115,936,48,-11,-39,68,-167,27,0,111,0,-183
"DE","00+",2023,32,"2023-08-13",4736,1028,103,173,81,-179,36,0,111,-107,-163,250
"DE","00+",2023,33,"2023-08-20",6319,1105,265,214,-86,163,0,0,-55,388,0,-415
"DE","00+",2023,34,"2023-08-27",5645,1059,312,-81,-67,111,56,-54,501,0,0,-499
"DE","00+",2023,35,"2023-09-03",5500,1631,-86,268,0,111,-109,167,0,0,0,-166
"DE","00+",2023,36,"2023-09-10",7245,1234,502,111,223,-113,-57,0,0,0,0,83
"DE","00+",2023,37,"2023-09-17",6273,1707,334,222,0,-223,0,0,0,0,333,83
"DE","00+",2023,38,"2023-09-24",6646,1445,445,-111,-112,0,0,0,0,167,83,0
"DE","00+",2023,39,"2023-10-01",7535,1001,333,276,0,0,0,0,83,0,-83,83
"DE","00+",2023,40,"2023-10-08",6646,1668,831,0,0,0,0,249,0,0,-83,83
"DE","00+",2023,41,"2023-10-15",8203,1773,831,0,0,0,167,-83,-84,0,0,167
"DE","00+",2023,42,"2023-10-22",18252,4428,315,1238,178,17,26,-4,38,0,-154,-258
"DE","00+",2023,43,"2023-10-29",18336,4208,1625,36,-108,164,-136,101,0,159,-473,-133
"DE","00+",2023,44,"2023-11-05",19912,4408,1780,898,-4,310,46,0,109,-873,0,302
"DE","00+",2023,45,"2023-11-12",20940,3371,470,782,465,206,0,-21,-1430,95,186,-125
"DE","00+",2023,46,"2023-11-19",21604,4770,1284,485,320,0,158,-1044,0,450,742,-1000
"DE","00+",2023,47,"2023-11-26",21737,5753,1615,828,0,136,-1576,102,135,1479,0,-1431
"DE","00+",2023,48,"2023-12-03",24020,5859,1629,0,867,-1802,0,438,1340,0,0,-1527
"DE","00+",2023,49,"2023-12-10",26588,6409,0,2923,-2321,0,1084,1611,-18,0,0,-1966
"DE","00+",2023,50,"2023-12-17",29838,0,11293,-1677,137,426,1640,18,-37,30,0,-1692
"DE","00+",2023,51,"2023-12-24",0,38868,-651,202,1057,2116,-7,-119,-19,19,131,-1866
"DE","00+",2023,52,"2023-12-31",29402,9134,1722,1397,1250,47,-18,-1,17,83,18,-1418
"DE","00+",2024,1,"2024-01-07",26685,6482,4154,1268,362,-157,-19,-3,119,0,17,-895
"DE","00+",2024,2,"2024-01-14",20231,7896,1770,824,295,2,162,11,54,150,-3,-641
"DE","00+",2024,3,"2024-01-21",29490,5779,1277,320,271,164,141,169,-122,-10,-132,-541
"DE","00+",2024,4,"2024-01-28",39653,5257,1852,1125,657,274,164,20,-132,120,11,-547
"DE","00+",2024,5,"2024-02-04",39634,6727,1828,684,425,11,196,309,18,-13,147,-579
"DE","00+",2024,6,"2024-02-11",41129,6639,1120,514,430,322,312,288,29,7,-1,-854
"DE","00+",2024,7,"2024-02-18",33609,6478,1035,388,-50,28,-35,-109,118,0,-130,-671
"DE","00+",2024,8,"2024-02-25",30230,3726,134,793,461,145,-111,-11,4,301,29,-760
"DE","00+",2024,9,"2024-03-03",24484,2896,1071,54,-42,-156,131,50,27,122,18,-721
"DE","00+",2024,10,"2024-03-10",22605,4360,503,33,121,-30,-101,-36,-1,2,119,-610
"DE","00+",2024,11,"2024-03-17",20242,4182,929,378,468,-164,0,238,-119,-131,0,-629
"DE","00+",2024,12,"2024-03-24",20613,3089,1087,6,154,20,186,-12,157,28,-49,-474
"DE","00+",2024,13,"2024-03-31",18985,2850,1104,256,71,-32,138,185,-148,-1,-36,-1035
"DE","00+",2024,14,"2024-04-07",18556,3528,808,481,306,-30,-11,36,113,-119,21,-350
"DE","00+",2024,15,"2024-04-14",17937,2862,1576,323,-10,-167,269,-102,12,118,0,-334
"DE","00+",2024,16,"2024-04-21",18094,2202,761,88,428,-12,35,-43,0,11,0,-484
"DE","00+",2024,17,"2024-04-28",16472,2702,1114,473,285,-19,0,-234,77,19,0,-619
"DE","00+",2024,18,"2024-05-05",19868,2993,1476,675,-51,159,37,103,-103,-12,29,-624
"DE","00+",2024,19,"2024-05-12",15861,3218,433,656,222,-30,-34,-154,18,-12,0,-147
