"location","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w"
"DE",2024,40,"2024-10-06",2927,1048,602,619,148
"DE",2024,41,"2024-10-13",2844,2055,421,489,149
"DE",2024,42,"2024-10-20",3405,1520,601,470,0
"DE",2024,43,"2024-10-27",3747,1562,945,195,251
"DE",2024,44,"2024-11-03",3358,1432,471,286,168
"DE",2024,45,"2024-11-10",3449,1233,285,249,0
"DE",2024,46,"2024-11-17",2829,1025,567,154,-125
"DE",2024,47,"2024-11-24",3367,818,370,65,0
"DE",2024,48,"2024-12-01",2174,1195,279,0,0
"DE",2024,49,"2024-12-08",2535,1490,0,0,459
"DE",2024,50,"2024-12-15",1904,0,0,1811,131
"DE",2024,51,"2024-12-22",0,0,3502,184,-113
"DE",2024,52,"2024-12-29",0,2666,358,250,36
"DE",2025,1,"2025-01-05",1451,464,304,168,111
"DE",2025,2,"2025-01-12",868,369,149,37,60
"DE",2025,3,"2025-01-19",726,287,155,0,-18
"DE",2025,4,"2025-01-26",665,424,154,101,19
"DE",2025,5,"2025-02-02",939,359,131,129,130
"DE",2025,6,"2025-02-09",690,149,148,120,0
"DE",2025,7,"2025-02-16",451,243,155,-119,130
"DE",2025,8,"2025-02-23",516,293,12,18,101
"DE",2025,9,"2025-03-02",625,267,-18,1,118
"DE",2025,10,"2025-03-09",285,148,131,137,0
"DE",2025,11,"2025-03-16",184,-12,95,18,0
"DE",2025,12,"2025-03-23",166,285,149,0,0
"DE",2025,13,"2025-03-30",148,119,0,0,0
"DE",2025,14,"2025-04-06",166,0,0,0,0
